Date,City,State,Temperature_Max (°C),Temperature_Min (°C),Temperature_Avg (°C),Humidity (%),Rainfall (mm),Wind_Speed (km/h),AQI,AQI_Category,Pressure (hPa),Cloud_Cover (%)
2024-01-01,Mumbai,Maharashtra,29.5,20.2,24.8,46.6,0.0,9.0,157,Moderate,1021.2,21.0
2024-01-02,Mumbai,Maharashtra,30.5,19.2,24.8,35.7,0.0,9.4,229,Poor,1023.4,25.8
2024-01-03,Mumbai,Maharashtra,31.5,18.6,25.1,50.2,0.0,8.2,204,Poor,1025.4,13.4
2024-01-04,Mumbai,Maharashtra,32.6,18.8,25.7,48.3,0.0,8.3,201,Poor,1025.1,19.1
2024-01-05,Mumbai,Maharashtra,32.4,17.9,25.2,46.4,0.0,6.9,206,Poor,1024.2,8.9
2024-01-06,Mumbai,Maharashtra,29.2,19.6,24.4,50.4,0.0,14.4,190,Moderate,1019.5,35.9
2024-01-07,Mumbai,Maharashtra,29.1,18.8,24.0,50.8,0.0,7.5,201,Poor,1020.3,39.8
2024-01-08,Mumbai,Maharashtra,28.1,18.8,23.5,51.8,0.0,7.7,173,Moderate,1023.5,38.1
2024-01-09,Mumbai,Maharashtra,30.5,16.4,23.4,50.5,0.0,13.2,198,Moderate,1023.0,13.0
2024-01-10,Mumbai,Maharashtra,31.0,16.8,23.9,49.3,0.0,9.8,203,Poor,1022.0,5.1
2024-01-11,Mumbai,Maharashtra,30.8,19.5,25.2,50.7,0.0,10.3,218,Poor,1026.4,35.6
2024-01-12,Mumbai,Maharashtra,31.4,19.5,25.5,54.0,0.0,6.8,234,Poor,1022.7,25.1
2024-01-13,Mumbai,Maharashtra,31.8,18.4,25.1,48.5,0.0,9.0,196,Moderate,1023.6,22.3
2024-01-14,Mumbai,Maharashtra,32.0,17.9,24.9,43.6,0.0,6.8,168,Moderate,1024.5,9.0
2024-01-15,Mumbai,Maharashtra,31.1,18.1,24.6,50.6,0.0,7.3,232,Poor,1022.7,24.0
2024-01-16,Mumbai,Maharashtra,31.5,17.7,24.6,38.2,0.0,15.2,149,Moderate,1027.7,2.8
2024-01-17,Mumbai,Maharashtra,30.2,18.9,24.6,51.5,0.0,7.1,200,Moderate,1020.6,26.9
2024-01-18,Mumbai,Maharashtra,30.0,18.3,24.1,45.3,0.0,10.2,178,Moderate,1021.4,37.6
2024-01-19,Mumbai,Maharashtra,30.6,19.1,24.8,48.0,0.0,7.2,182,Moderate,1020.5,40.7
2024-01-20,Mumbai,Maharashtra,30.1,18.7,24.4,40.6,0.0,7.3,207,Poor,1025.6,28.1
2024-01-21,Mumbai,Maharashtra,31.1,18.0,24.5,43.6,0.0,18.9,165,Moderate,1023.9,0.0
